flow [gpm]	head [ft]	speed [Hz]
26.870	151.013	55.000
27.233	150.162	55.000
27.596	149.273	55.000
27.959	148.345	55.000
28.322	147.377	55.000
28.686	146.367	55.000
29.049	145.314	55.000
29.412	144.218	55.000
29.775	143.076	55.000
30.138	141.887	55.000
30.501	140.651	55.000
30.864	139.365	55.000
31.227	138.029	55.000
31.590	136.641	55.000
31.954	135.200	55.000
32.317	133.704	55.000
32.680	132.152	55.000
33.043	130.542	55.000
33.406	128.873	55.000
33.769	127.144	55.000
34.132	125.352	55.000
34.495	123.497	55.000
34.858	121.577	55.000
35.221	119.591	55.000
35.585	117.536	55.000
35.948	115.411	55.000
0.000	136.700	50.000
0.330	136.700	50.000
0.660	136.700	50.000
0.990	136.700	50.000
1.320	136.700	50.000
1.650	136.699	50.000
1.981	136.699	50.000
2.311	136.699	50.000
2.641	136.699	50.000
2.971	136.698	50.000
3.301	136.697	50.000
3.631	136.696	50.000
3.961	136.695	50.000
4.291	136.693	50.000
4.621	136.690	50.000
4.951	136.687	50.000
5.282	136.683	50.000
5.612	136.678	50.000
5.942	136.671	50.000
6.272	136.664	50.000
6.602	136.655	50.000
6.932	136.645	50.000
7.262	136.633	50.000
7.592	136.619	50.000
7.922	136.603	50.000
8.252	136.585	50.000
8.583	136.564	50.000
8.913	136.540	50.000
9.243	136.513	50.000
9.573	136.483	50.000
9.903	136.450	50.000
10.233	136.412	50.000
10.563	136.370	50.000
10.893	136.324	50.000
11.223	136.273	50.000
11.553	136.216	50.000
11.884	136.154	50.000
12.214	136.086	50.000
12.544	136.012	50.000
12.874	135.931	50.000
13.204	135.844	50.000
13.534	135.748	50.000
13.864	135.645	50.000
14.194	135.533	50.000
14.524	135.413	50.000
14.854	135.283	50.000
15.185	135.143	50.000
15.515	134.993	50.000
15.845	134.832	50.000
16.175	134.660	50.000
16.505	134.476	50.000
16.835	134.280	50.000
17.165	134.070	50.000
17.495	133.847	50.000
17.825	133.609	50.000
18.155	133.357	50.000
18.486	133.089	50.000
18.816	132.805	50.000
19.146	132.504	50.000
19.476	132.186	50.000
19.806	131.849	50.000
20.136	131.494	50.000
20.466	131.119	50.000
20.796	130.724	50.000
21.126	130.307	50.000
21.456	129.869	50.000
21.786	129.408	50.000
22.117	128.923	50.000
22.447	128.415	50.000
22.777	127.881	50.000
23.107	127.321	50.000
23.437	126.734	50.000
23.767	126.119	50.000
24.097	125.476	50.000
24.427	124.804	50.000
24.757	124.101	50.000
25.087	123.366	50.000
25.418	122.599	50.000
25.748	121.799	50.000
26.078	120.964	50.000
26.408	120.095	50.000
26.738	119.188	50.000
27.068	118.244	50.000
27.398	117.262	50.000
27.728	116.240	50.000
28.058	115.178	50.000
28.388	114.074	50.000
28.719	112.927	50.000
29.049	111.735	50.000
29.379	110.499	50.000
29.709	109.216	50.000
30.039	107.886	50.000
30.369	106.507	50.000
30.699	105.077	50.000
31.029	103.597	50.000
31.359	102.064	50.000
31.689	100.477	50.000
32.020	98.835	50.000
32.350	97.137	50.000
32.680	95.381	50.000
0.000	110.727	45.000
0.297	110.727	45.000
0.594	110.727	45.000
0.891	110.727	45.000
1.188	110.727	45.000
1.485	110.727	45.000
1.783	110.726	45.000
2.080	110.726	45.000
2.377	110.726	45.000
2.674	110.725	45.000
2.971	110.725	45.000
3.268	110.724	45.000
3.565	110.723	45.000
3.862	110.721	45.000
4.159	110.719	45.000
4.456	110.716	45.000
4.753	110.713	45.000
5.051	110.709	45.000
5.348	110.704	45.000
5.645	110.698	45.000
5.942	110.691	45.000
6.239	110.683	45.000
6.536	110.673	45.000
6.833	110.662	45.000
7.130	110.649	45.000
7.427	110.634	45.000
7.724	110.617	45.000
8.021	110.598	45.000
8.318	110.576	45.000
8.616	110.551	45.000
8.913	110.524	45.000
9.210	110.494	45.000
9.507	110.460	45.000
9.804	110.422	45.000
10.101	110.381	45.000
10.398	110.335	45.000
10.695	110.285	45.000
10.992	110.230	45.000
11.289	110.170	45.000
11.586	110.105	45.000
11.884	110.033	45.000
12.181	109.956	45.000
12.478	109.872	45.000
12.775	109.782	45.000
13.072	109.684	45.000
13.369	109.579	45.000
13.666	109.466	45.000
13.963	109.345	45.000
14.260	109.214	45.000
14.557	109.075	45.000
14.854	108.926	45.000
15.152	108.766	45.000
15.449	108.597	45.000
15.746	108.416	45.000
16.043	108.223	45.000
16.340	108.019	45.000
16.637	107.802	45.000
16.934	107.572	45.000
17.231	107.328	45.000
17.528	107.071	45.000
17.825	106.798	45.000
18.122	106.510	45.000
18.419	106.206	45.000
18.717	105.886	45.000
19.014	105.549	45.000
19.311	105.194	45.000
19.608	104.820	45.000
19.905	104.428	45.000
20.202	104.016	45.000
20.499	103.583	45.000
20.796	103.130	45.000
21.093	102.654	45.000
21.390	102.157	45.000
21.687	101.636	45.000
21.985	101.091	45.000
22.282	100.522	45.000
22.579	99.927	45.000
22.876	99.305	45.000
23.173	98.657	45.000
23.470	97.981	45.000
23.767	97.277	45.000
24.064	96.542	45.000
24.361	95.778	45.000
24.658	94.982	45.000
24.955	94.155	45.000
25.253	93.294	45.000
25.550	92.400	45.000
25.847	91.470	45.000
26.144	90.506	45.000
26.441	89.504	45.000
26.738	88.465	45.000
27.035	87.387	45.000
27.332	86.270	45.000
27.629	85.113	45.000
27.926	83.914	45.000
28.223	82.672	45.000
28.520	81.386	45.000
28.818	80.057	45.000
29.115	78.681	45.000
29.412	77.258	45.000
0.000	87.488	40.000
0.264	87.488	40.000
0.528	87.488	40.000
0.792	87.488	40.000
1.056	87.488	40.000
1.320	87.488	40.000
1.584	87.488	40.000
1.849	87.487	40.000
2.113	87.487	40.000
2.377	87.487	40.000
2.641	87.486	40.000
2.905	87.486	40.000
3.169	87.485	40.000
3.433	87.483	40.000
3.697	87.482	40.000
3.961	87.479	40.000
4.225	87.477	40.000
4.489	87.474	40.000
4.753	87.470	40.000
5.017	87.465	40.000
5.282	87.459	40.000
5.546	87.453	40.000
5.810	87.445	40.000
6.074	87.436	40.000
6.338	87.426	40.000
6.602	87.414	40.000
6.866	87.401	40.000
7.130	87.386	40.000
7.394	87.369	40.000
7.658	87.349	40.000
7.922	87.328	40.000
8.186	87.304	40.000
8.451	87.277	40.000
8.715	87.247	40.000
8.979	87.214	40.000
9.243	87.178	40.000
9.507	87.139	40.000
9.771	87.095	40.000
10.035	87.048	40.000
10.299	86.996	40.000
10.563	86.940	40.000
10.827	86.879	40.000
11.091	86.813	40.000
11.355	86.741	40.000
11.619	86.664	40.000
11.884	86.581	40.000
12.148	86.492	40.000
12.412	86.396	40.000
12.676	86.293	40.000
12.940	86.183	40.000
13.204	86.065	40.000
13.468	85.939	40.000
13.732	85.805	40.000
13.996	85.662	40.000
14.260	85.510	40.000
14.524	85.348	40.000
14.788	85.177	40.000
15.052	84.995	40.000
15.317	84.803	40.000
15.581	84.599	40.000
15.845	84.384	40.000
16.109	84.156	40.000
16.373	83.916	40.000
16.637	83.663	40.000
16.901	83.397	40.000
17.165	83.116	40.000
17.429	82.821	40.000
17.693	82.511	40.000
17.957	82.185	40.000
18.221	81.844	40.000
18.486	81.485	40.000
18.750	81.110	40.000
19.014	80.716	40.000
19.278	80.305	40.000
19.542	79.874	40.000
19.806	79.424	40.000
20.070	78.954	40.000
20.334	78.464	40.000
20.598	77.951	40.000
20.862	77.417	40.000
21.126	76.860	40.000
21.390	76.280	40.000
21.654	75.676	40.000
21.919	75.048	40.000
22.183	74.394	40.000
22.447	73.714	40.000
22.711	73.007	40.000
22.975	72.273	40.000
23.239	71.511	40.000
23.503	70.719	40.000
23.767	69.898	40.000
24.031	69.047	40.000
24.295	68.164	40.000
24.559	67.250	40.000
24.823	66.302	40.000
25.087	65.321	40.000
25.352	64.305	40.000
25.616	63.255	40.000
25.880	62.168	40.000
26.144	61.044	40.000
0.000	66.983	35.000
0.231	66.983	35.000
0.462	66.983	35.000
0.693	66.983	35.000
0.924	66.983	35.000
1.155	66.983	35.000
1.386	66.983	35.000
1.617	66.983	35.000
1.849	66.982	35.000
2.080	66.982	35.000
2.311	66.982	35.000
2.542	66.981	35.000
2.773	66.980	35.000
3.004	66.979	35.000
3.235	66.978	35.000
3.466	66.976	35.000
3.697	66.974	35.000
3.928	66.972	35.000
4.159	66.969	35.000
4.390	66.965	35.000
4.621	66.961	35.000
4.852	66.956	35.000
5.084	66.950	35.000
5.315	66.943	35.000
5.546	66.936	35.000
5.777	66.927	35.000
6.008	66.916	35.000
6.239	66.905	35.000
6.470	66.892	35.000
6.701	66.877	35.000
6.932	66.860	35.000
7.163	66.842	35.000
7.394	66.821	35.000
7.625	66.799	35.000
